Area,Key,Status,Description,Label
Math,NASEM.Math.foundations,Area,Mathematical foundations,Mathematical foundations
Math,NASEM.Math.01,Subarea,Set theory and basic logic,
Math,NASEM.Math.02,Subarea,Multivariate thinking via functions,
Math,NASEM.Math.03,Subarea,Basic probability theory,
Math,NASEM.Math.04,Subarea,Matrices and basic linear algebra,
Math,NASEM.Math.05,Subarea,Networks and graph theory,
Math,NASEM.Math.06,Subarea,Optimization,
Compute,NASEM.Compute.foundations,Area,Computational foundations,Computational foundations
Compute,NASEM.Compute.01,Subarea,Basic abstractions,
Compute,NASEM.Compute.02,Subarea,Algorithmic thinking,
Compute,NASEM.Compute.03,Subarea,Programming concepts,
Compute,NASEM.Compute.04,Subarea,Data structures,
Compute,NASEM.Compute.05,Subarea,Simulations,
Statistics,NASEM.Statistics.foundations,Area,Statistical foundations,Statistical foundations
Statistics,NASEM.Statistics.01,Subarea,"Variability, uncertainty, sampling error, and inference",
Statistics,NASEM.Statistics.02,Subarea,Multivariate thinking,
Statistics,NASEM.Statistics.03,Subarea,"Nonsampling error, design, experiments (e.g., A/B testing), biases, confounding, and causal inference",
Statistics,NASEM.Statistics.04,Subarea,Exploratory data analysis,
Statistics,NASEM.Statistics.05,Subarea,Statistical modeling and model assessment,
Statistics,NASEM.Statistics.06,Subarea,Simulations and experiments,
Management,NASEM.Data.management.curation,Area,Data management and curation,Data management & curation
Management,NASEM.Data.management.01,Subarea,Data provenance,
Management,NASEM.Data.management.02,Subarea,"Data preparation, especially data cleansing and data transformation",
Management,NASEM.Data.management.03,Subarea,Data management,
Management,NASEM.Data.management.04,Subarea,Record retention policies,
Management,NASEM.Data.management.05,Subarea,Data subject privacy,
Management,NASEM.Data.management.06,Subarea,Missing and conflicting data,
Management,NASEM.Data.management.07,Subarea,Modern databases,
Description,NASEM.Data.description.visualization,Area,Data description and visualization,Data description & visualization
Description,NASEM.Data.description.visualization.01,Subarea,Data consistency checking,
Description,NASEM.Data.description.visualization.02,Subarea,Exploratory data analysis,
Description,NASEM.Data.description.visualization.03,Subarea,Grammar of graphics,
Modeling,NASEM.Data.modeling.assessment,Area,Data modeling and assessment,Data modeling & assessment
Modeling,NASEM.Modeling.01,Subarea,Machine learning,
Modeling,NASEM.Modeling.02,Subarea,Multivariate modeling and supervised learning,
Modeling,NASEM.Modeling.03,Subarea,Dimension reduction techniques and unsupervised learning,
Modeling,NASEM.Modeling.04,Subarea,Deep learning,
Modeling,NASEM.Modeling.05,Subarea,Model assessment and sensitivity analysis,
Modeling,NASEM.Modeling.06,Subarea,Model interpretation (particularly for black box models),
Reproducibility,NASEM.Workflow.reproducibility,Area,Workflow and reproducibility,Workflow & reproducibility
Reproducibility,NASEM.Reproducibility.01,Subarea,Workflows and workflow systems,
Reproducibility,NASEM.Reproducibility.02,Subarea,Reproducible analysis,
Communication,NASEM.Communication.teamwork,Area,Communication and teamwork,Communication & teamwork
Communication,NASEM.Communication.01,Subarea,Ability to understand client needs,
Communication,NASEM.Communication.02,Subarea,Clear and comprehensive reporting,
Communication,NASEM.Communication.03,Subarea,Conflict resolution skills,
Communication,NASEM.Communication.04,Subarea,Well-structured technical writing without jargon,
Communication,NASEM.Communication.05,Subarea,Effective presentation skills,
Domain,NASEM.Domain,Area,Domain-specific considerations,Domain-specific considerations
Domain,NASEM.Domain.01,Subarea,Domain-specific considerations,
Ethics,NASEM.Ethics,Area,Ethical problem solving,Ethical problem solving
Ethics,NASEM.Ethics.01,Subarea,Ethical precepts for data science and codes of conduct,
Ethics,NASEM.Ethics.02,Subarea,Privacy and confidentiality,
Ethics,NASEM.Ethics.03,Subarea,Responsible conduct of research,
Ethics,NASEM.Ethics.04,Subarea,Ability to identify “junk” science,
Ethics,NASEM.Ethics.05,Subarea,Ability to detect algorithmic bias,
