Row.Type,Institution,Program,GDS.Data-literacy,GDS.Data-representation-modeling,GDS.Databases ,GDS.Math,GDS.Compute,GDS.Data-modeling,GDS.Generative-Modeling,GDS.Predictive-Modeling,GDS.Communication,GDS.Science
4-point scale code,University of Arizona,Statistics and Data Science BA,4,,1,4,4,,4,1,4,2
2-point scale code,University of Arizona,Statistics and Data Science BA,1,,0,1,1,,1,0,1,0
Explanation,University of Arizona,Statistics and Data Science BA,"MATH/STAT 465 Introduction​ ​to​ ​Data​ ​Science​, a required course, covers data preparation and exploration. MATH 363: Introduction to Statistical Methods, a required course, covers issues of collection of data. ",,no,"Required course is MATH 313 Intro to Linear Algebra
(3 units) or MATH 310 Applied
Linear Algebra (3 units)",Required course Math 375 will introduce R and Python.,,Required course Math 465: Introduction​ ​to​ ​Data​ ​Science covers classification. ,no,"MATH/STAT 465: Introduction​ ​to​ ​Data​ ​Science, a core course, will include variety of tools for data visualization. ","Required course, MATH/STAT 465: Introduction​ ​to​ ​Data​ ​Science, provides broad overview course in data science methods."
Syllabus/Website investigated further,University of Arizona,Statistics and Data Science BA,,,,,,,,,,
4-point scale code,University of Arizona,Statistics and Data Science BS,4,,1,4,4,,4,1,4,2
2-point scale code,University of Arizona,Statistics and Data Science BS,1,,0,1,1,,1,0,1,0
Explanation,University of Arizona,Statistics and Data Science BS,"MATH/STAT 465 Introduction​ ​to​ ​Data​ ​Science​, a required course, covers data preparation and exploration. MATH 363: Introduction to Statistical Methods, a core course, covers issues of collection of data. ",,no,"Required course is MATH 313 Intro to Linear Algebra
(3 units) or MATH 310 Applied
Linear Algebra (3 units)",Required course Math 375 will introduce R and Python.,,Required course Math 465: Introduction​ ​to​ ​Data​ ​Science covers classification. ,no,"MATH/STAT 465: Introduction​ ​to​ ​Data​ ​Science, a core course, will include variety of tools for data visualization. ","Required course, MATH/STAT 465: Introduction​ ​to​ ​Data​ ​Science, provides broad overview course in data science methods."
Syllabus/Website investigated further,University of Arizona,Statistics and Data Science BS,,,,,,,,,,
4-point scale code,University of California - Davis,B.S. in Statistics: Statistical Data Science,3,,4,4,4,,4,4,4,2
2-point scale code,University of California - Davis,B.S. in Statistics: Statistical Data Science,1,,1,1,1,,1,1,1,0
Explanation,University of California - Davis,B.S. in Statistics: Statistical Data Science,"Required STA 141B—Data & Web Technologies for Data Analysis covers data gathering due to inclusion in course description of ""Scraping Web pages and using Web services/APIs"" but only at a level of a 3. Required intro stats course covers exploration. STA 141B—Data & Web Technologies for Data Analysis covers “processing data in blocks,” which merits a 3 for data preparation. Jeff confirmed this score should be 3.",,"Required course, STA 141B—Data & Web Technologies for Data Analysis, covers modern databases. ",Required course in linear algebra ,Required courses cover both R and Python.,,Required course in machine learning (ECS 171),Required course in machine learning (ECS 171),"Required course, STA 141A—Fundamentals of Statistical Data Science, covers data visualization. ","Required course, STA 141B—Data & Web Technologies for Data Analysis. Covers computational data workflow and best practices."
Syllabus/Website investigated further,University of California - Davis: Syllabus was investigated for the scoring process,B.S. in Statistics: Statistical Data Science,,,,,,,,,,
4-point scale code,University of Iowa,B.S. in Data Science,3,,4,4,4,,4,4,4,1
2-point scale code,University of Iowa,B.S. in Data Science,1,,1,1,1,,1,1,1,0
Explanation,University of Iowa,B.S. in Data Science,"Required intro stats course. STAT:4580 Data Visualization and Data Technologies covers visualization, with some mention of data retrieval and preparation. Jeff confirmed",,"Required, CS:4400 Database Systems. ","Required, Math 2700: Introduction to Linear Algebra ","Required STAT:2010 Statistical Methods and Computing, students learn SAS. Required STAT:3200 Applied Linear Regression, hands-on data analysis with computer software. Required, CS:1210 Computer Science I: Fundamentals, introduction to programming using Python.",,"Required coursework in either machine learning or statistical learning, which covers classification methods","Required, STAT:3200 Applied Linear Regression covers logistic regression","Required, STAT:4580 Data Visualization and Data Technologies; Required, STAT:3200 Applied Linear Regression covers presentation of analysis results. Required, STAT:4880 Data Science Creative Component (1 unit), emphasis on communication of ideas. ",No coursework on general data science issues.  
Syllabus/Website investigated further,University of Iowa,B.S. in Data Science,,,,,,,,,,
4-point scale code,Ohio State University - Main Campus,B.S. in Data Analytics,3,,4,4,4,,4,4,4,1
2-point scale code,Ohio State University - Main Campus,B.S. in Data Analytics,1,,1,1,1,,1,1,1,0
Explanation,Ohio State University - Main Campus,B.S. in Data Analytics,Required course CSE 5243: Introduction to Data Mining covers data preparation. Required intro to stats course covers exploration. ,,Required CSE 3241: Introduction to Database Systems,"Required, Math 2568: Linear Algebra","Required to learn C and Java in courses, option to learn cloud computing",,Required STAT 4620: Introduction to Statistical Learning covers classification,Required STAT 4620: Introduction to Statistical Learning ,"Required is one of the following: 
CSE 5544: Introduction to Scientific Visualization or
ISE 5760: Visual Analytics and Sensemaking
",No general data science courses offered
