Row.Type,Institution,Program,GDS.Data-literacy,GDS.Data-representation-modeling,GDS.Databases ,GDS.Math,GDS.Compute,GDS.Data-modeling,GDS.Generative-Modeling,GDS.Predictive-Modeling,GDS.Communication,GDS.Science
4-point scale code,Ohio State University - Main Campus,B.S. in Data Analytics,3,,4,4,4,,4,4,4,1
4-point scale code,Pennsylvania State University - Main Campus,"B.S. in Data Sciences, Applied Data Science option",4,,4,4,4,,4,4,4,3
4-point scale code,Pennsylvania State University - Main Campus,"B.S. in Data Sciences, Computational Science option",4,,4,4,4,,4,4,1,3
4-point scale code,Stanford University,Data Science Minor,2,,1,4,4,,4,4,4,2
4-point scale code,University of Arizona,Statistics and Data Science BA,4,,1,4,4,,4,4,4,2
4-point scale code,University of Arizona,Statistics and Data Science BS,4,,1,4,4,,4,4,4,2
4-point scale code,University of California - Berkeley,B.A. in Data Science,4,,2,4,4,,4,4,4,2
4-point scale code,University of California - Davis,B.S. in Statistics: Statistical Data Science,3,,4,4,4,,4,4,4,2
4-point scale code,University of Colorado - Boulder,B.A. in Statistics and Data Science,3,,1,4,4,,4,4,4,2
4-point scale code,University of Illinois Urbana-Champaign,Certificate in Data Science ,2,,2,2,2,,2,2,2,2
4-point scale code,University of Iowa,B.S. in Data Science,3,,4,4,4,,4,4,4,2
4-point scale code,University of Maryland - College Park,B.S. in Computer Science with data science specialization,3,,4,4,4,,4,4,4,2
4-point scale code,University of Washington - Seattle,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",2,,4,4,4,,4,4,4,2
4-point scale code,University of Washington - Seattle,"B.S. in Computer Science, Data Science Option",2,,4,4,3,,4,4,4,1
4-point scale code,University of Washington - Seattle,B.S. in Human Centered Design & Engineering with Data Science option,2,,4,1,4,,4,4,3,2
4-point scale code,University of Washington - Seattle,"B.S. in Informatics, Data Science Track",4,,4,1,4,,4,4,4,2
4-point scale code,University of Washington - Seattle,B.S. in Statistics with Data Science option,2,,4,4,4,,2,2,3,1
4-point scale code,Washington State University,B.S. in Data Analytics,3,,4,4,4,,1,1,3,2
