Row.Type,Institution,Program,NA.Math-foundations,NA.Math.01,NA.Math.02,NA.Math.03,NA.Math.04,NA.Math.05,NA.Math.06,NA.Compute-foundations,NA.Compute.01,NA.Compute.02,NA.Compute.03,NA.Compute.04,NA.Compute.05,NA.Statistics-foundations,NA.Statistics.01,NA.Statistics.02,NA.Statistics.03,NA.Statistics.04,NA.Statistics.05,NA.Statistics.06,NA.Data-management-curation,NA.Data-management.01,NA.Data-management.02,NA.Data-management.03,NA.Data-management.04,NA.Data-management.05,NA.Data-management.06,NA.Data-management.07,NA.Data-description-visualization,NA.Data-description-visualization.01,NA.Data-description-visualization.02,NA.Data-description-visualization.03,NA.Data-modeling-assessment,NA.Modeling.01,NA.Modeling.02,NA.Modeling.03,NA.Modeling.04,NA.Modeling.05,NA.Modeling.06,NA.Workflow-reproducibility,NA.Reproducibility.01,NA.Reproducibility.02,NA.Communication-teamwork,NA.Communication.01,NA.Communication.02,NA.Communication.03,NA.Communication.04,NA.Communication.05,NA.Domain.01,NA.Ethics,NA.Ethics.01,NA.Ethics.02,NA.Ethics.03,NA.Ethics.04,NA.Ethics.05
4-point scale code,University of Arizona,Statistics and Data Science BA,,1,4,4,4,2,4,,4,4,4,4,4,,4,1,4,4,4,4,,1,4,4,1,1,1,1,,4,4,3,,1,1,2,1,4,1,,1,1,,1,2,2,3,3,3,,1,1,1,1,1
2-point scale code,University of Arizona,Statistics and Data Science BA,,0,1,1,1,0,1,,1,1,1,1,1,,1,0,1,1,1,1,,0,1,1,0,0,0,0,,1,1,1,,0,0,0,0,1,0,,0,0,,0,0,0,1,1,1,,0,0,0,0,0
Explanation,University of Arizona,Statistics and Data Science BA,,no,Required Math 223 covers differential and integral calculus of several variables. ,Required course is MATH 464s: Theory of Probability.,Required course is Math 313: Introduction to Linear Algebra or MAth 310 Applied Linear Algebra. ,Optional course SIE 440: Survey of Optimization Methods covers network flows,"Covered in required course, MATH/STAT 375: Introduction​ ​to​ ​Statistical​ ​Computing. ",,1 intro to computer science class is required (CSC 110 or ISTA 130),"Required course in CSC 110 Introduction to Computer Programming, which covers problem solving strategies, or ISTA 130 Computational Thinking and Doing, which covers design and problem solving. ",Required introductory course on computer programming that uses a programming language,"Students are required to take course intro course in computer science, either CSC 110 Introduction to Computer Programming I or ISTA 130 Computational Thinking and Doing.  Both cover data structures. ","MATH/STAT 464s, a core course, will cover simulations. ",,"Required course, MATH 363 Intro to Stats. ",no,Required course MATH/STAT 467 Introduction​ ​to​ ​Applied​ ​Linear​ ​Models covers experimental designs. ,Required course is MATH 363 Intro to Stats,MATH/STAT 467 Introduction​ ​to​ ​Applied​ ​Linear​ ​Models will be required course. ,"MATH/STAT 464s, a required course, will cover simulations and Required course MATH/STAT 467 Introduction​ ​to​ ​Applied​ ​Linear​ ​Models covers experimental designs. ",,no,Required course MATH/STAT 465 Introduction​ ​to​ ​Data​ ​Science covers,"Required course, MATH/STAT 465 Introduction​ ​to​ ​Data​ ​Science,​ ​includes material on data management. ",no,no,no,no,,Required course is MATH 363 Intro to Stats,Required intro to stats course.,Required coursework in data visualization,,no,no,Required course MATH/STAT 465 Introduction​ ​to​ ​Data​ ​Science covers dimension reduction.  Unsupervised learning not covered. ,no,Required MATH 363: Introduction to Statistical Methods covers model analysis,no,,no,no,,no,Default score,Default score,6 units required of English composition,Required course Math 363 has a required presentation. https://math.arizona.edu/~jwatkins/math363f15.htm,Students have to choose a minor; they may also choose another major. ,,no,no,no,"no. UA Executive Summary says that goal of new major is to be able to “Critically evaluate and extend statistical models drawn from current scientific literature.”  However, specific mention of junk science or pseudoscience is not made in course descriptions.  ",no
Syllabus/Website investigated further,University of Arizona,Statistics and Data Science BA,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,x,,,,,,,
4-point scale code,University of Arizona,Statistics and Data Science BS,,1,4,4,4,2,4,,4,4,4,4,4,,4,1,4,4,4,4,,1,4,4,1,1,1,1,,4,4,3,,1,1,2,1,4,1,,1,1,,1,2,2,3,3,3,,1,1,1,1,1
2-point scale code,University of Arizona,Statistics and Data Science BS,,0,1,1,1,0,1,,1,1,1,1,1,,1,0,1,1,1,1,,0,1,1,0,0,0,0,,1,1,1,,0,0,0,0,1,0,,0,0,,0,0,0,1,1,1,,0,0,0,0,0
Explanation,University of Arizona,Statistics and Data Science BS,,no,Required Math 223 covers differential and integral calculus of several variables. ,Required course is MATH 464s: Theory of Probability.,Required course is Math 313: Introduction to Linear Algebra or MAth 310 Applied Linear Algebra. ,Optional course SIE 440: Survey of Optimization Methods covers network flows,"Covered in required course, MATH/STAT 375: Introduction​ ​to​ ​Statistical​ ​Computing. ",,1 intro to computer science class is required (CSC 110 or ISTA 130),"Required course in CSC 110 Introduction to Computer Programming, which covers problem solving strategies, or ISTA 130 Computational Thinking and Doing, which covers design and problem solving. ",Required introductory course on computer programming that uses a programming language,"Students are required to take course intro course in computer science, either CSC 110 Introduction to Computer Programming I or ISTA 130 Computational Thinking and Doing.  Both cover data structures. ","MATH/STAT 464s, a core course, will cover simulations. ",,"Required course, MATH 363 Intro to Stats. ",no,Required course MATH/STAT 467 Introduction​ ​to​ ​Applied​ ​Linear​ ​Models covers experimental designs. ,Required course is MATH 363 Intro to Stats,MATH/STAT 467 Introduction​ ​to​ ​Applied​ ​Linear​ ​Models will be required course. ,"MATH/STAT 464s, a required course, will cover simulations and Required course MATH/STAT 467 Introduction​ ​to​ ​Applied​ ​Linear​ ​Models covers experimental designs. ",,no,Required course MATH/STAT 465 Introduction​ ​to​ ​Data​ ​Science covers,"Required course, MATH/STAT 465 Introduction​ ​to​ ​Data​ ​Science,​ ​includes material on data management. ",no,no,no,no,,Required course is MATH 363 Intro to Stats,Required intro to stats course.,Required coursework in data visualization,,no,no,Required course MATH/STAT 465 Introduction​ ​to​ ​Data​ ​Science covers dimension reduction.  Unsupervised learning not covered. ,no,Required MATH 363: Introduction to Statistical Methods covers model analysis,no,,no,no,,no,Default score,Default score,6 units required of English composition,Required course Math 363 has a required presentation. https://math.arizona.edu/~jwatkins/math363f15.htm,Students have to choose a minor; they may also choose another major. ,,no,no,no,"no. UA Executive Summary says that goal of new major is to be able to “Critically evaluate and extend statistical models drawn from current scientific literature.”  However, specific mention of junk science or pseudoscience is not made in course descriptions.  ",no
Syllabus/Website investigated further,University of Arizona,Statistics and Data Science BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,x,,,,,,,
4-point scale code,University of California - Davis,B.S. in Statistics: Statistical Data Science,,1,4,4,4,1,2,,4,4,4,4,4,,4,4,4,4,4,4,,1,3,1,1,1,1,4,,4,4,3,,4,4,4,1,4,4,,4,1,,1,3,3,3,2,1,,1,1,1,1,1
2-point scale code,University of California - Davis,B.S. in Statistics: Statistical Data Science,,0,1,1,1,0,0,,1,1,1,1,1,,1,1,1,1,1,1,,0,1,0,0,0,0,1,,1,1,1,,1,1,1,0,1,1,,1,0,,0,1,1,1,0,0,,0,0,0,0,0
Explanation,University of California - Davis,B.S. in Statistics: Statistical Data Science,,no,Required third and fourth semester of calculus covers multivariable calculus,"Required course, STA 131A Intro to Probability Theory.",MAT 022A—Linear Algebra is core course,no,Students must take MAT 168 Optimization OR MAT 167 Applied Linear Algebra. ,,There is a required computer science course. ,Required computer science course (both 32A and 36A) covers algorithmic thinking. ,Required introductory course on computer programming that uses a programming language,There is required intro to computer science course. ,"Required course, STA 141A—Fundamentals of Statistical Data Science, covers topic. ",,required intro to stats  course. ,STA 135 Multivariate Data Analysis is required course.  ,"Required course, STA 106: Analysis of Variance, covers basics of experimental design. ",required intro to stats  course. ,"Required course, STA 131C—Introduction to Mathematical Statistics covers linear model theory, goodness-of-fit. ",STA 141A Fundamentals of Statistical Data Science covers simulations.  STA 106—Applied Statistical Methods: Analysis of Variance covers basics of experimental design.  Both are required courses. ,,no,Required STA 141B—Data & Web Technologies for Data Analysis covers data retrieved from web scraping and APIs that will require cleaning and transforming before they can be used for text mining and visualization. Jeff confirmed,no,no,no,no,"Required course covers, STA 141B Data and Web Technologies for Data Analysis",,Required intro stats class ,Required intro stats class ,"Required course, STA 141A—Fundamentals of Statistical Data Science, covers data visualization. ",,ECS 171 Machine Learning is required,ECS 171 Machine Learning is required,"Required course, ECS 171—Machine Learning, covers supervised and unsupervised learning.  Required course, STA 135—Multivariate Data Analysis, covers discriminant analysis.",no,"Required course, STA 131C—Introduction to Mathematical Statistics covers linear model theory, goodness-of-fit. ",ECS 171 Machine Learning is required,,"Required course, STA 141B—Data & Web Technologies for Data Analysis, covers computational data workflow and best practices ",no,,no,Required STA 160—Practice in Statistical Data Science includes report ,"Teamwork: Required course, STA 160—Practice in Statistical Data Science, covers principles and practice of interdisciplinary, collaborative data analysis and has team data analysis project. ",University of California requires every undergraduate student to demonstrate college-level proficiency in English composition ; https://lettersandscience.ucdavis.edu/degree-requirements,Optional oral presentation class: https://lettersandscience.ucdavis.edu/sites/g/files/dgvnsk276/files/files/page/ge3-graduation-requirement-self-check_0.pdf  ,no additional requirements,,no,no,no,no,no
Syllabus/Website investigated further,University of California - Davis,B.S. in Statistics: Statistical Data Science,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x; only short syllabus available,,,,,,,,,,
4-point scale code,University of Iowa,B.S. in Data Science,,1,4,4,4,1,1,,4,4,4,4,1,,4,4,2,4,4,2,,1,2,2,4,4,1,4,,4,4,3,,4,4,2,2,4,4,,1,1,,2,2,2,2,2,1,,2,4,3,1,1
2-point scale code,University of Iowa,B.S. in Data Science,,0,1,1,1,0,0,,1,1,1,1,0,,1,1,0,1,1,0,,0,0,0,1,1,0,1,,1,1,1,,1,1,0,0,1,1,,0,0,,0,0,0,0,0,0,,0,1,1,0,0
Explanation,University of Iowa,B.S. in Data Science,,no,Required course in calculus III that covers,"Required course covers, Introduction to Mathematical Statistics",Required course is MATH:2700 Introduction to Linear Algebra,no,no,,There is a required computer science course. ,"Required course,  CS 3330: Algorithms covers Algorithm design techniques ","Required course, CS:1210 Computer Science I: Fundamentals, is introduction to programming using Python","Required course, Computer Science II: Data Structures",no,,Required intro stats course,Required STAT:3101 Introduction to Mathematical Statistics II covers multivariate distributions,"Optional course covers experimental design, STAT:3210 Experimental Design and Analysis",Required intro stats course,Required STAT:3200 Applied Linear Regression mentions model,Optional course covers experiments; nothing covers simulations ,,no,Required STAT:4580 Data Visualization and Data Technologies has brief mention of these topics. Jeff confirmed,Optional course is Research Data Management,"Required course, STAT:4890 Data Science Practicum (2 credits), introduces ethical and confidentiality issues related to data collection, storage, and sharing.","Required course, STAT:4890 Data Science Practicum (2 credits), introduces ethical and confidentiality issues related to data collection, storage, and sharing.",no,Required course is CS:4400 Database Systems,,Required introductory stats class,Required introductory stats class,"Required, STAT:4580 Data Visualization and Data Technologies; Required, STAT:3200 Applied Linear Regression covers presentation of analysis results. Required, STAT:4880 Data Science Creative Component (1 unit), emphasis on communication of ideas. ",,Required course in either machine learning or supervised learning. ,Required course in either machine learning or supervised learning. ,Optional course STAT:4540 Statistical Learning covers both,Optional course on machine learning covers it,"Required course, STAT:3200 Applied Linear Regression, covers model formulation",Required course in either machine learning or supervised learning. ,,Not mentioned,Not mentioned,,Required internship that did not discuss interacting with clients,"No mention, default score",Default score,"RHET:1030 is required, has some writing component; http://catalog.registrar.uiowa.edu/liberal-arts-sciences/general-education-program/","RHET:1030 is required, has some speaking component; http://catalog.registrar.uiowa.edu/liberal-arts-sciences/general-education-program/",No additional requirements,,"Required course, STAT:4890 Data Science Practicum (2 credits), introduces ethical and confidentiality issues related to data collection, storage, and sharing","Required course, STAT:4890 Data Science Practicum (2 credits),  introduces ethical and confidentiality issues related to data collection, storage, and sharing","Required course, STAT:4890 Data Science Practicum (2 credits),  introduces ethical and confidentiality issues related to data collection, storage, and sharing",Not mentioned,Not mentioned
Syllabus/Website investigated further,University of Iowa,BS in Data Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syllabus for STAT 4880: Data Science Creative Component not available,,,,,,,,
4-point scale code,Ohio State University - Main Campus,BS in Data Analytics,,1,1,4,4,1,4,,4,4,4,4,4,,4,4,1,4,4,2,,1,4,4,1,1,1,4,,4,4,3,,4,4,2,1,4,4,,1,1,,2,2,2,3,2,2,,1,1,1,1,1
2-point scale code,Ohio State University - Main Campus,BS in Data Analytics,,0,0,1,1,0,1,,1,1,1,1,1,,1,1,0,1,1,0,,0,1,1,0,0,0,1,,1,1,1,,1,1,0,0,1,1,,0,0,,0,0,0,1,0,0,,0,0,0,0,0
Explanation,Ohio State University - Main Campus,BS in Data Analytics,,no,no,"Required course, STAT 3201: Introduction to Probability for Data Analytics",Required: linear algebra,no,Required: ISE 3230: Systems Modeling and Optimization for Analytics,,Required CS course,"Required: CSE 2321: Foundations I, Discrete Structures covers ""analysis of algorithms""",Required coursework covers Java and C,Required CS course,"Required Stat 3201: Introduction to Probability for Data Analytics covers ""simulation-based methods""",,Required intro stats course,Required Stat 3302: Statistical Modeling for Discovery II covers multivariate data,No,Required intro stats course,Required Stat 3301: Statistical Modeling for Discovery I,Required course covers simulations and experiments not covered. ,,No,"Required course CSE 5243: Introduction to Data Mining covers data preparation, specifically ""data preprocessing, data transformations""","Required one of the following: CSE 5242: Advanced Database Management Systems, CSE 3244: Data Management in the Cloud
",no,no,no,Required CSE 3241: Introduction to Database Systems,,Required intro stats course,Required intro stats course,"Required is one of the following: 
CSE 5544: Introduction to Scientific Visualization or
ISE 5760: Visual Analytics and Sensemaking
",,Required Stat 4620: Introduction to Statistical Learning.  ,Required Stat 4620: Introduction to Statistical Learning.,Required Stat 4620: Introduction to Statistical Learning covers dimension reduction. Unsupervised learning covered not covered,No,Required Stat 3301: Statistical Modeling for Discovery I covers,Required Stat 4620: Introduction to Statistical Learning.,,no,no,,Option to take BUSADM 3632.05: Business Industry Cluster Project Experience; https://data-analytics.osu.edu/major/specialization/business-analytics,Default score,Default score,6 hours of writing courses required; https://artsandsciences.osu.edu/sites/default/files/BS_GE_AU18_0.pdf,Default score,"Has specializations for major, but they are not quite at a minor level. Additionally, some of specializations are not outside of CS, stats, etc. domains; https://data-analytics.osu.edu/major/specialization",,no,no,no,no,no
Syllabus/Website investigated further,Ohio State University - Main Campus,BS in Data Analytics,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-point scale code,University of Illinois Urbana-Champaign,Certificate in Data Science ,,1,1,3,2,1,1,,2,2,3,2,1,,4,2,2,4,3,2,,1,2,2,1,1,1,2,,4,4,2,,2,2,2,1,3,2,,1,1,,1,2,2,3,2,2,,1,1,1,1,1
2-point scale code,University of Illinois Urbana-Champaign,Certificate in Data Science ,,0,0,1,0,0,0,,0,0,1,0,0,,1,0,0,1,1,0,,0,0,0,0,0,0,0,,1,1,0,,0,0,0,0,1,0,,0,0,,0,0,0,1,0,0,,0,0,0,0,0
Explanation,University of Illinois Urbana-Champaign,Certificate in Data Science ,,no,no,Required introductory statistics course,Option to take linear algebra,no,no,,"Optional course is STAT 385 - Statistics Programming Methods
",Option to take STAT 428: Statistical Computing that covers,Required stats course uses R,"Option STAT 385 - Statistics Programming Methods
",no,,Required intro stats course,Optional STAT 432 - Basics of Statistical Learning covers principal components analysis ,Optional STAT 200 and 212 cover,Required intro stats course,Required intro to stats,Experiments are in optional courses but not simulations,,no,Optional STAT 440: Statistical Data Management covers,Optional course is STAT 440: Statistical Data Management,no,no,no,Optional STAT 440 - Statistical Data Management covers,,Required intro stats course,Required intro stats course,Optional course Stat 480 covers visualization,,Optional STAT 480 - Data Science Foundations covers as does optional STAT 432: Basics of Statistical Learning,Optional STAT 432: Basics of Statistical Learning covers,Optional STAT 432 - Basics of Statistical Learning covers both,no,"Required Statistical modeling covered by course choices for FUNDAMENTALS OF DATA, SAMPLING, STATISTICS, AND MACHINE LEARNING area",Optional course on machine learning,,no,no,,no,Optional STAT 385 requires report,Default score,Writing course required; GE requirements: http://catalog.illinois.edu/general-information/,Default score,"Major required. Just a certificate. However, students could major in statistics or something like sociology, etc. ",,no,no,no,no,no
Syllabus/Website investigated further,University of Illinois Urbana-Champaign,Certificate in Data Science ,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
4-point scale code,University of Maryland - College Park,B.S. in Computer Science with data science specialization,,4,1,4,4,1,1,,4,4,4,4,1,,4,1,1,4,3,1,,1,4,4,1,1,2,4,,4,4,3,,4,4,3,2,2,4,,1,1,,1,2,2,3,2,1,,1,1,1,1,1
2-point scale code,University of Maryland - College Park,B.S. in Computer Science with data science specialization,,1,0,1,1,0,0,,1,1,1,1,0,,1,0,0,1,1,0,,0,1,1,0,0,0,1,,1,1,1,,1,1,1,0,0,1,,0,0,,0,0,0,1,0,0,,0,0,0,0,0
Explanation,University of Maryland - College Park,B.S. in Computer Science with data science specialization,,Required CMSC250 Discrete Structures covers sets,no,Required course MATH131 Calculus II covers,Required linear algebra,no,no,,Required intro to computer science course,Required CMSC 351 (3) Algorithms,Required CMSC 330 (3) Organization of Programming Languages,Required intro to computer science course,no,,Required intro to stats course (STAT 400),no,no,Required intro to stats course (STAT 400),Required intro to stats course (STAT 400),no,,no,Required course CMSC320 Introduction to Data Science covers,"Required course CMSC320 Introduction to Data Science covers ""large-scale data management""",no,no,Required course CMSC320 Introduction to Data Science spends one class on this. ,Required CMSC 424 (3) Database Design,,Required intro to stats course (STAT 400),Required intro to stats course (STAT 400),Required CMSC320 Introduction to Data Science covers visualization,,Required course in machine learning,Required course in machine learning,Required course CMSC320 Introduction to Data Science spends two classes on dimension reduction. Unsupervised learning addressed in required machine learning class,Required course CMSC320 Introduction to Data Science spends one class on this,Optional CMSC 402 covers statistical modeling,Required machine learning course,,no,no,,No,Default score,Default score,Required writing course; https://www.ugst.umd.edu/core/core_req.html,Default,none. Major is in CS with data science specialization.,,No,No,No,No,No
Syllabus/Website investigated further,University of Maryland - College Park,B.S. in Computer Science with data science specialization,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,x; CMSC 422 (3) Machine Learning,x,,,,,,,,,,,,,,,,,,
4-point scale code,Washington State University,"BS Computer Science, Data Science Track",,3,4,4,4,2,1,,4,4,4,4,1,,4,1,4,4,4,2,,1,4,1,4,4,1,2,,4,4,3,,3,3,3,2,3,3,,1,1,,1,4,3,3,3,1,,4,4,2,1,1
2-point scale code,Washington State University,"BS Computer Science, Data Science Track",,1,1,1,1,0,0,,1,1,1,1,0,,1,0,1,1,1,0,,0,1,0,1,1,0,0,,1,1,1,,1,1,1,0,1,1,,0,0,,0,1,1,1,1,0,,1,1,0,0,0
Explanation,Washington State University,"BS Computer Science, Data Science Track",,Required CPT S 317 covers regular sets. Jeff saw this course description and scored it a 3. ,Required multivariable calculus,Required 475 Data Science covers,Required linear algebra,Optional course,no,,Required computer science class,Required 350 Design and Analysis of Algorithms,Required course covers language,Required intro CS course,no,,Required intro stats course,no,Required 423 Statistical Methods for Engineers and Scientist covers designed experiments,Required intro stats course,Required 360 Probability and Statistics covers probability models,"Required course covers experiments, 360 Probability and Statistics; simulation not covered",,no,Required 475 Data Science covers data wrangling,no,Required 475 Data Science covers data and ethics,Required 475 Data Science covers privacy,no,Optional course is 415 Big Data that covers databases,,Required intro stats course,Required intro stats course,Required 475 Data Science covers visualization,,Required  475 Data Science has 3 weeks on machine learning; Optional course 437 Introduction to Machine Learning,Required  475 Data Science has 3 weeks on machine learning; Optional course 437 Introduction to Machine Learning,Required  475 Data Science has 3 weeks on unsupervised learning and dimension reduction covered in optional course,Required  475 Data Science has weekly topic on this,Required 360 Probability and Statistics covers probability models,Required  475 Data Science has 3 weeks on machine learning; Optional course 437 Introduction to Machine Learning,,no,no,,no,Required 475 Data Science has report and says general guidelines will be provided,Required 475 Data Science has team project,Required ENGLISH 101 and 475 Data Science has required technical report (team based),Required 475 Data Science has presentation,Students must major in CS. This is track.,,"Required 475 Data Science covers ""Reason around ethical and privacy
issues in data science conduct""",Required 475 Data Science covers privacy,"Required  475 Data Science says that Reason around ethical and privacy
issues in data science conduct covered",no,no
Syllabus/Website investigated further,Washington State University,"BS Computer Science, Data Science Track",,,,,,,,,,,,,,,,,,,,,,,,x 475 Data Science,x 475 Data Science,x 475 Data Science,,,,,,,,x 475 Data Science; https://scads.eecs.wsu.edu/index.php/data-science/,x 475 Data Science,x 475 Data Science,x 475 Data Science,,,,,,,x,x 475 Data Science,x 475 Data Science,x,x,,,x,x,x,x,x
4-point scale code,University of California - Berkeley,BA in Data Science,,1,1,4,4,1,1,,4,4,4,4,2,,4,1,1,4,4,2,,1,4,2,2,2,1,3,,4,4,3,,4,4,2,1,2,4,,1,1,,1,2,2,3,2,3,,2,2,2,2,2
2-point scale code,University of California - Berkeley,BA in Data Science,,0,0,1,1,0,0,,1,1,1,1,0,,1,0,0,1,1,0,,0,1,0,0,0,0,1,,1,1,1,,1,1,0,0,0,1,,0,0,,0,0,0,1,0,1,,0,0,0,0,0
Explanation,University of California - Berkeley,BA in Data Science,,no,no,Required course in probability,Required linear algebra,no,No,,Required Data 100 is intro to stats,Required COMPSCI 170 Efficient Algorithms and Intractable Problems,Required data science courses cover Python,Required data science courses cover Python,Optional STAT 140. Probability for Data Science covers,,Required Data 8 that serves as intro to stats,No,No,"Required Data 100, intro to stats",Required Data 8 covers,Optional STAT 140. Probability for Data Science covers simulations. Experiments not covered,,no,Required Data 100 covers,Required Data 100 spends a week on this ; http://www.ds100.org/fa18/syllabus#lecture-week-17,Required Data 100 has one lecture on this,Required Data 100 has one lecture on this; Optional PHILOS 121: Moral Questions of Data Science ,no,Required Data 100 discusses databases two weeks. An optional course focuses exclusively on databases. ,,Required Data 8 is intro stats,Required Data 8 is intro stats,Required coursework in visualization,,Required courses in machine learning,Required courses in machine learning,Required Data 100 spends class or so on each,No,Required Data 8 spends one week on this (10/3) : http://data8.org/fa18/,Required courses in machine learning,,no,No,,no,default,default,Requirement is writing course for GE; https://ls.berkeley.edu/advising/degree-requirements,Default score,Required 7-course L&S Breadth requirement ,,Required Data 100 has one lecture on this; Optional PHILOS 121. Moral Questions of Data Science,Required Data 100 has one lecture on this; optional course PHILOS 121: Moral Questions of Data Science ,"Required Data 100 has one lecture on this; Optional PHILOS 121. Moral Questions of Data Science covers ethical questions arising from collecting, drawing inferences from, and acting on data",Optional course PHILOS 121. Moral Questions of Data Science covers interpretability,Required Data 100 has one lecture on this
Syllabus/Website investigated further,University of California - Berkeley,BA in Data Science,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-point scale code,University of Colorado - Boulder,BA in Statistics and Data Science,,1,4,4,4,1,1,,4,4,4,4,2,,4,2,1,4,4,2,,1,4,1,1,2,1,1,,4,4,3,,4,4,2,1,4,4,,4,4,,4,3,3,4,4,2,,2,2,2,2,1
2-point scale code,University of Colorado - Boulder,BA in Statistics and Data Science,,0,1,1,1,0,0,,1,1,1,1,0,,1,0,0,1,1,0,,0,1,0,0,0,0,0,,1,1,1,,1,1,0,0,1,1,,1,1,,1,1,1,1,1,0,,0,0,0,0,0
Explanation,University of Colorado - Boulder,BA in Statistics and Data Science,,no,Required Calculus 3 covers,Required STAT 3100 Applied Probability,Required course,no,no,,Required CSCI 2270 Computer Science 2: Data Structures,Required CSCI 2270 (4) Computer Science 2: Data Structures cover algorithmic design,Required intro to CS course covers C++,Required intro to CS course,Optional STAT 4430        Spatial Statistics covers,,Required intro to stats,Optional STAT 4430        Spatial Statistics covers,no,Required intro to stats,Required STAT 2600	Introduction to Data Science covers,Optional course covers simulations. experiments not covered,,no,Required STAT 2600        Introduction to Data Science covers importing and tidying data,no,no,Optional is STAT 4700 (3) Philosophical and Ethical Issues in Statistics that covers,no,no,,Required intro to stats,Required intro to stats,Required coursework in visualization,,Required STAT 4610 Statistical Learning ,Required STAT 4610 Statistical Learning ,Required STAT 4610        Statistical Learning covers unsupervised learning and dimension reduction not covered,no,Required STAT 3400 (3) Applied Regression includes model comparison,Required STAT 4610 Statistical Learning ,,Required course Statistical Collaboration covers ,Required course Statistical Collaboration covers,,Required course Statistical Collaboration,Required course Statistical Collaboration requires producing written reports,Required course Statistical Collaboration includes team project,Required course Statistical Collaboration covers statistical writing; GE requires 6 hours Written Communication; https://www.colorado.edu/artsandsciences/undergraduate/degree-requirements/general-education-requirements,Required course Statistical Collaboration covers presentation skills,Required 18 hours outside coursework,,"Required course Statistical Collaboration covers ""working ethically""",Optional is STAT 4700 (3) Philosophical and Ethical Issues in Statistics that covers,"Required course Statistical Collaboration covers ""working ethically""",Optional is STAT 4700 (3) Philosophical and Ethical Issues in Statistics that covers,Optional is STAT 4700 (3) Philosophical and Ethical Issues in Statistics that covers some ethical issues but syllabus not available to see if it covers this subarea
Syllabus/Website investigated further,University of Colorado - Boulder,BA in Statistics and Data Science,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,x,x,x,,,,,,,
4-point scale code,Stanford University ,Data Science Minor,,1,4,3,4,2,2,,4,2,4,4,1,,4,2,2,4,3,2,,1,1,1,1,1,1,1,,4,4,3,,4,4,2,1,2,4,,1,1,,1,2,2,3,2,4,,1,1,2,2,1
