Institution,Program,NASEM.Math.01,NASEM.Math.02,NASEM.Math.03,NASEM.Math.04,NASEM.Math.05,NASEM.Math.06,NASEM.Compute.01,NASEM.Compute.02,NASEM.Compute.03,NASEM.Compute.04,NASEM.Compute.05,NASEM.Statistics.01,NASEM.Statistics.02,NASEM.Statistics.03,NASEM.Statistics.04,NASEM.Statistics.05,NASEM.Statistics.06,NASEM.Data.management.01,NASEM.Data.management.02,NASEM.Data.management.03,NASEM.Data.management.04,NASEM.Data.management.05,NASEM.Data.management.06,NASEM.Data.management.07,NASEM.Data.description.visualization.01,NASEM.Data.description.visualization.02,NASEM.Data.description.visualization.03,NASEM.Modeling.01,NASEM.Modeling.02,NASEM.Modeling.03,NASEM.Modeling.04,NASEM.Modeling.05,NASEM.Modeling.06,NASEM.Reproducibility.01,NASEM.Reproducibility.02,NASEM.Communication.01,NASEM.Communication.02,NASEM.Communication.03,NASEM.Communication.04,NASEM.Communication.05,NASEM.Domain.01,NASEM.Ethics.01,NASEM.Ethics.02,NASEM.Ethics.03,NASEM.Ethics.04,NASEM.Ethics.05
Ohio State University - Main Campus,B.S. in Data Analytics,1,1,4,4,4,4,4,4,4,4,4,4,4,1,4,4,3,1,4,2,1,1,1,4,4,4,3,4,4,2,1,4,4,1,1,2,2,2,3,2,2,1,1,1,1,1
Pennsylvania State University - Main Campus,"B.S. in Data Sciences, Applied Data Science option",4,4,4,4,4,2,4,4,4,4,1,4,1,1,4,3,1,1,4,4,1,4,1,4,4,4,1,4,4,1,2,3,4,4,2,1,3,3,4,4,1,1,4,1,1,1
Pennsylvania State University - Main Campus,"B.S. in Data Sciences, Computational Science option",4,2,4,4,4,2,4,4,4,4,1,4,1,1,4,4,1,1,4,4,1,4,1,4,4,4,3,4,4,3,2,4,4,4,2,2,3,3,4,4,1,1,4,1,1,1
Stanford University,Data Science Minor,1,4,3,4,2,2,4,4,4,4,1,4,2,1,4,3,1,1,1,1,1,1,1,1,4,4,3,4,4,2,1,2,4,1,1,1,2,2,3,2,4,1,1,2,2,1
University of Arizona,Statistics and Data Science BA,1,4,4,4,2,4,4,4,4,4,4,4,1,4,4,4,4,1,4,4,1,1,1,1,4,4,3,1,4,2,1,4,4,1,1,1,2,2,3,2,3,1,1,1,1,1
University of Arizona,Statistics and Data Science BS,1,4,4,4,2,4,4,4,4,4,4,4,1,4,4,4,4,1,4,4,1,1,1,1,4,4,3,1,4,2,1,4,4,1,1,1,2,2,3,2,3,1,1,1,1,1
University of California - Berkeley,B.A. in Data Science,1,1,4,4,1,1,4,4,4,4,2,4,2,2,4,4,2,1,4,1,2,4,1,2,4,4,3,4,4,2,2,2,4,1,2,1,2,2,3,2,2,2,4,2,1,1
University of California - Davis,B.S. in Statistics: Statistical Data Science,1,4,4,4,1,2,4,4,4,4,4,4,4,4,4,4,4,1,3,1,1,1,1,4,4,4,3,4,4,4,1,4,4,4,1,1,3,3,3,2,1,1,1,1,1,1
University of Colorado - Boulder,B.A. in Statistics and Data Science,1,4,4,4,1,1,4,4,4,4,4,4,2,1,4,4,3,1,4,1,1,2,1,1,4,4,3,4,4,2,1,4,4,4,4,4,3,3,4,4,2,2,2,2,2,1
University of Illinois Urbana-Champaign,Certificate in Data Science ,1,1,3,2,1,1,2,2,3,2,1,4,2,2,4,3,2,1,2,2,1,1,1,2,4,4,2,2,2,2,1,3,2,1,1,1,2,2,3,2,2,1,1,1,1,1
University of Iowa,B.S. in Data Science,1,4,4,4,4,1,4,4,4,4,1,4,4,2,4,4,2,1,2,2,4,4,1,4,4,4,3,4,4,4,2,4,4,1,1,2,3,2,2,2,1,3,4,3,1,1
University of Maryland - College Park,B.S. in Computer Science with data science specialization,4,1,4,4,4,2,4,4,4,4,1,4,1,1,4,3,1,1,4,4,1,1,1,4,4,4,3,4,4,1,2,2,4,4,2,1,2,2,3,2,1,1,1,1,1,1
University of Washington - Seattle,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",1,4,4,4,4,2,4,4,4,4,1,4,4,2,4,4,2,1,1,1,1,1,1,4,4,4,3,4,4,3,1,4,4,1,1,1,2,2,3,2,1,1,1,1,1,1
University of Washington - Seattle,"B.S. in Computer Science, Data Science Option",4,2,1,4,1,1,4,4,4,4,1,1,1,1,4,2,1,1,1,1,1,4,1,4,2,4,3,4,4,3,4,1,4,1,1,1,2,2,3,2,1,3,4,1,1,2
University of Washington - Seattle,B.S. in Human Centered Design & Engineering with Data Science option,1,2,3,1,1,1,4,1,4,3,1,4,1,2,4,3,2,1,2,2,1,4,1,4,4,4,2,4,4,2,2,2,4,1,1,2,2,3,3,4,4,3,4,4,1,1
University of Washington - Seattle,"B.S. in Informatics, Data Science Track",1,1,4,1,1,1,4,4,4,4,1,4,1,4,4,3,3,1,2,1,1,4,1,4,4,4,3,4,4,2,1,2,4,1,1,4,2,3,3,2,1,3,4,1,1,1
University of Washington - Seattle,B.S. in Statistics with Data Science option,2,4,4,4,1,1,4,1,4,4,1,4,2,4,4,4,2,1,2,1,1,2,1,4,4,4,2,2,2,2,1,3,2,1,1,1,2,2,3,2,1,2,2,1,1,2
Washington State University,B.S. in Data Analytics,1,1,4,4,1,1,4,1,4,4,1,4,4,2,4,4,2,1,1,1,4,1,1,4,4,4,2,1,3,2,1,2,1,1,1,1,2,3,2,2,3,4,4,1,1,1
